variable,q10_estimate,q10_std.error,q10_ci.low,q10_ci.upp,q10_p.value,q25_estimate,q25_std.error,q25_ci.low,q25_ci.upp,q25_p.value,q50_estimate,q50_std.error,q50_ci.low,q50_ci.upp,q50_p.value,q75_estimate,q75_std.error,q75_ci.low,q75_ci.upp,q75_p.value,q90_estimate,q90_std.error,q90_ci.low,q90_ci.upp,q90_p.value
(Intercept),3.914,0.19,3.532,4.297,0,4.371,0.092,4.186,4.555,0,4.647,0.078,4.491,4.803,0,4.744,0.089,4.565,4.923,0,5.058,0.105,4.847,5.27,0
exp_imp,0.089,0.022,0.044,0.134,0,0.087,0.016,0.054,0.12,0,0.065,0.013,0.039,0.091,0,0.081,0.015,0.051,0.111,0,0.024,0.021,-0.019,0.067,0.262
I(exp_imp^2),-0.005,0.002,-0.008,-0.002,0.003,-0.006,0.001,-0.008,-0.003,0,-0.004,0.001,-0.006,-0.002,0.001,-0.004,0.001,-0.007,-0.002,0.001,-0,0.002,-0.003,0.003,0.954
areaUrban-Type Settlement,0.088,0.105,-0.124,0.299,0.41,0.005,0.061,-0.119,0.128,0.938,0.041,0.063,-0.084,0.167,0.511,0.122,0.08,-0.039,0.283,0.134,0.144,0.071,0,0.287,0.05
areaCity,0.257,0.108,0.04,0.474,0.021,0.05,0.069,-0.088,0.188,0.47,0.135,0.057,0.021,0.249,0.021,0.236,0.058,0.12,0.352,0,0.289,0.063,0.164,0.415,0
areaRegional Center,0.258,0.215,-0.173,0.69,0.235,0.068,0.221,-0.376,0.513,0.759,0.19,0.222,-0.256,0.636,0.396,0.26,0.226,-0.193,0.713,0.254,0.303,0.227,-0.154,0.76,0.189
sexMale,0.461,0.063,0.335,0.587,0,0.288,0.028,0.231,0.345,0,0.242,0.027,0.188,0.295,0,0.291,0.029,0.232,0.349,0,0.257,0.043,0.171,0.343,0
marital_status2. Married/Civil partnership,-0.062,0.058,-0.18,0.055,0.293,-0.051,0.028,-0.108,0.006,0.076,-0.004,0.029,-0.063,0.055,0.89,-0.001,0.029,-0.06,0.057,0.962,0.011,0.031,-0.051,0.074,0.72
marital_status3. Divorced/Separated/Widowed,-0.055,0.101,-0.259,0.149,0.593,-0.022,0.059,-0.141,0.098,0.717,0.023,0.051,-0.081,0.126,0.658,0.025,0.068,-0.112,0.162,0.717,0.077,0.076,-0.076,0.229,0.317
O,0.057,0.029,-0,0.115,0.05,0.059,0.017,0.025,0.092,0.001,0.055,0.015,0.024,0.085,0.001,0.073,0.016,0.042,0.105,0,0.076,0.024,0.027,0.125,0.003
C,0.018,0.028,-0.037,0.074,0.506,0.016,0.017,-0.018,0.049,0.359,0.01,0.013,-0.017,0.037,0.452,-0.012,0.013,-0.038,0.015,0.371,-0.021,0.015,-0.052,0.01,0.181
E,0.006,0.02,-0.035,0.047,0.761,0.001,0.013,-0.025,0.027,0.933,0.01,0.009,-0.009,0.028,0.297,0.016,0.011,-0.007,0.039,0.166,0.007,0.012,-0.017,0.032,0.548
A,0.036,0.024,-0.012,0.084,0.138,0.009,0.016,-0.023,0.041,0.559,0.012,0.013,-0.014,0.037,0.356,0.002,0.015,-0.028,0.031,0.918,0.005,0.018,-0.032,0.042,0.792
ES,0.028,0.025,-0.021,0.077,0.26,0.02,0.013,-0.007,0.047,0.143,0.009,0.013,-0.018,0.035,0.514,-0.005,0.011,-0.028,0.017,0.627,-0.021,0.015,-0.05,0.008,0.156
