variable,q10_estimate,q10_std.error,q10_ci.low,q10_ci.upp,q10_p.value,q25_estimate,q25_std.error,q25_ci.low,q25_ci.upp,q25_p.value,q50_estimate,q50_std.error,q50_ci.low,q50_ci.upp,q50_p.value,q75_estimate,q75_std.error,q75_ci.low,q75_ci.upp,q75_p.value,q90_estimate,q90_std.error,q90_ci.low,q90_ci.upp,q90_p.value
(Intercept),3.914,0.158,3.596,4.232,0,4.371,0.082,4.206,4.535,0,4.647,0.073,4.5,4.795,0,4.744,0.089,4.565,4.923,0,5.058,0.087,4.883,5.234,0
exp_imp,0.089,0.018,0.053,0.124,0,0.087,0.019,0.049,0.125,0,0.065,0.011,0.042,0.087,0,0.081,0.012,0.056,0.106,0,0.024,0.015,-0.007,0.055,0.121
I(exp_imp^2),-0.005,0.002,-0.008,-0.002,0.002,-0.006,0.002,-0.009,-0.002,0.001,-0.004,0.001,-0.006,-0.002,0,-0.004,0.001,-0.006,-0.002,0,-0,0.001,-0.002,0.002,0.934
areaUrban-Type Settlement,0.088,0.095,-0.103,0.278,0.36,0.005,0.056,-0.109,0.118,0.933,0.041,0.051,-0.062,0.145,0.424,0.122,0.067,-0.013,0.257,0.076,0.144,0.079,-0.015,0.303,0.075
areaCity,0.257,0.104,0.048,0.466,0.017,0.05,0.066,-0.083,0.183,0.454,0.135,0.056,0.022,0.248,0.02,0.236,0.062,0.112,0.36,0,0.289,0.065,0.158,0.421,0
areaRegional Center,0.258,0.252,-0.249,0.766,0.311,0.068,0.239,-0.411,0.548,0.776,0.19,0.241,-0.295,0.675,0.435,0.26,0.25,-0.241,0.762,0.302,0.303,0.238,-0.174,0.781,0.208
sexMale,0.461,0.064,0.332,0.59,0,0.288,0.026,0.235,0.341,0,0.242,0.022,0.197,0.287,0,0.291,0.03,0.231,0.35,0,0.257,0.036,0.184,0.33,0
marital_status2. Married/Civil partnership,-0.062,0.047,-0.157,0.033,0.194,-0.051,0.027,-0.106,0.003,0.064,-0.004,0.021,-0.046,0.038,0.845,-0.001,0.025,-0.051,0.048,0.955,0.011,0.026,-0.041,0.063,0.664
marital_status3. Divorced/Separated/Widowed,-0.055,0.091,-0.238,0.129,0.552,-0.022,0.075,-0.173,0.129,0.775,0.023,0.056,-0.089,0.135,0.683,0.025,0.065,-0.106,0.156,0.705,0.077,0.068,-0.06,0.214,0.267
O,0.057,0.025,0.007,0.108,0.028,0.059,0.015,0.029,0.089,0,0.055,0.013,0.029,0.081,0,0.073,0.015,0.043,0.104,0,0.076,0.019,0.038,0.114,0
C,0.018,0.03,-0.042,0.079,0.545,0.016,0.016,-0.017,0.048,0.344,0.01,0.014,-0.017,0.037,0.457,-0.012,0.015,-0.043,0.019,0.444,-0.021,0.02,-0.062,0.02,0.308
E,0.006,0.025,-0.045,0.057,0.807,0.001,0.016,-0.03,0.032,0.945,0.01,0.014,-0.019,0.038,0.502,0.016,0.013,-0.011,0.043,0.238,0.007,0.017,-0.027,0.042,0.671
A,0.036,0.021,-0.007,0.079,0.099,0.009,0.013,-0.018,0.036,0.488,0.012,0.014,-0.016,0.039,0.392,0.002,0.014,-0.027,0.03,0.916,0.005,0.016,-0.028,0.038,0.769
ES,0.028,0.024,-0.021,0.077,0.259,0.02,0.015,-0.01,0.05,0.191,0.009,0.013,-0.017,0.034,0.498,-0.005,0.017,-0.04,0.029,0.751,-0.021,0.022,-0.065,0.022,0.334
