variable,q10_estimate,q10_std.error,q10_ci.low,q10_ci.upp,q10_p.value,q25_estimate,q25_std.error,q25_ci.low,q25_ci.upp,q25_p.value,q50_estimate,q50_std.error,q50_ci.low,q50_ci.upp,q50_p.value,q75_estimate,q75_std.error,q75_ci.low,q75_ci.upp,q75_p.value,q90_estimate,q90_std.error,q90_ci.low,q90_ci.upp,q90_p.value
(Intercept),3.88,0.172,3.535,4.225,0,4.327,0.102,4.121,4.532,0,4.534,0.096,4.34,4.727,0,4.607,0.094,4.418,4.796,0,4.718,0.121,4.476,4.96,0
edu_lvl2. Secondary School,0.15,0.069,0.012,0.289,0.034,0.02,0.038,-0.055,0.096,0.591,0.102,0.04,0.021,0.182,0.014,0.173,0.043,0.087,0.26,0,0.225,0.046,0.133,0.317,0
edu_lvl3. Secondary Vocational,0.23,0.077,0.076,0.384,0.004,0.105,0.043,0.019,0.191,0.018,0.191,0.04,0.112,0.271,0,0.246,0.048,0.15,0.343,0,0.322,0.06,0.201,0.443,0
edu_lvl4. Tertiary,0.314,0.075,0.164,0.464,0,0.265,0.044,0.177,0.353,0,0.353,0.041,0.27,0.436,0,0.41,0.043,0.323,0.497,0,0.468,0.061,0.345,0.591,0
exp_imp,0.044,0.018,0.009,0.08,0.016,0.04,0.019,0.002,0.078,0.042,0.053,0.009,0.035,0.07,0,0.064,0.01,0.045,0.083,0,0.026,0.01,0.006,0.046,0.012
I(exp_imp^2),-0.002,0.002,-0.005,0.001,0.163,-0.002,0.002,-0.005,0.001,0.213,-0.003,0.001,-0.004,-0.001,0,-0.003,0.001,-0.005,-0.002,0,0,0.001,-0.002,0.002,0.853
sexMale,0.427,0.049,0.328,0.526,0,0.332,0.029,0.274,0.389,0,0.292,0.028,0.236,0.348,0,0.308,0.025,0.258,0.358,0,0.351,0.043,0.264,0.438,0
areaUrban-Type Settlement,0.113,0.096,-0.081,0.307,0.246,0.013,0.066,-0.12,0.146,0.845,0.023,0.061,-0.1,0.146,0.71,0.074,0.077,-0.08,0.229,0.337,0.114,0.085,-0.056,0.285,0.183
areaCity,0.18,0.08,0.02,0.341,0.028,0.018,0.051,-0.084,0.121,0.723,0.125,0.05,0.024,0.225,0.016,0.155,0.053,0.048,0.262,0.005,0.241,0.057,0.126,0.357,0
areaRegional Center,0.175,0.22,-0.266,0.616,0.429,0.089,0.229,-0.372,0.55,0.699,0.171,0.232,-0.294,0.637,0.463,0.164,0.226,-0.291,0.619,0.472,0.249,0.222,-0.197,0.695,0.267
O,0.036,0.025,-0.015,0.086,0.16,0.034,0.016,0.001,0.067,0.045,0.029,0.014,0.002,0.057,0.037,0.043,0.016,0.01,0.076,0.012,0.042,0.018,0.006,0.078,0.025
C,0.042,0.024,-0.006,0.091,0.085,0.013,0.014,-0.015,0.041,0.341,0.008,0.013,-0.018,0.034,0.542,-0.008,0.014,-0.036,0.02,0.559,-0.005,0.017,-0.039,0.028,0.75
E,0.024,0.024,-0.023,0.072,0.312,0.007,0.01,-0.014,0.029,0.477,0.017,0.01,-0.003,0.036,0.089,0.025,0.012,0.001,0.048,0.041,0.009,0.016,-0.023,0.041,0.566
A,0.035,0.02,-0.005,0.076,0.088,0.011,0.015,-0.02,0.042,0.471,0.005,0.013,-0.021,0.031,0.689,0.008,0.015,-0.021,0.038,0.58,-0.02,0.016,-0.052,0.011,0.199
ES,0.015,0.025,-0.035,0.065,0.559,0.019,0.014,-0.008,0.047,0.167,0.002,0.011,-0.02,0.023,0.882,-0.007,0.012,-0.031,0.017,0.563,-0.023,0.017,-0.056,0.011,0.175
