variable,q10_estimate,q10_std.error,q10_ci.low,q10_ci.upp,q10_p.value,q25_estimate,q25_std.error,q25_ci.low,q25_ci.upp,q25_p.value,q50_estimate,q50_std.error,q50_ci.low,q50_ci.upp,q50_p.value,q75_estimate,q75_std.error,q75_ci.low,q75_ci.upp,q75_p.value,q90_estimate,q90_std.error,q90_ci.low,q90_ci.upp,q90_p.value
(Intercept),3.88,0.156,3.567,4.193,0,4.327,0.104,4.118,4.535,0,4.534,0.084,4.365,4.702,0,4.607,0.087,4.432,4.782,0,4.718,0.104,4.509,4.927,0
edu_lvl2. Secondary School,0.15,0.058,0.034,0.266,0.012,0.02,0.042,-0.063,0.104,0.628,0.102,0.035,0.032,0.172,0.005,0.173,0.038,0.098,0.249,0,0.225,0.042,0.14,0.31,0
edu_lvl3. Secondary Vocational,0.23,0.059,0.112,0.349,0,0.105,0.044,0.017,0.193,0.021,0.191,0.037,0.116,0.266,0,0.246,0.044,0.157,0.335,0,0.322,0.058,0.207,0.438,0
edu_lvl4. Tertiary,0.314,0.059,0.195,0.433,0,0.265,0.042,0.181,0.35,0,0.353,0.038,0.276,0.43,0,0.41,0.041,0.328,0.492,0,0.468,0.057,0.354,0.582,0
exp_imp,0.044,0.014,0.015,0.073,0.003,0.04,0.019,0.002,0.078,0.04,0.053,0.011,0.031,0.074,0,0.064,0.012,0.039,0.089,0,0.026,0.014,-0.002,0.054,0.069
I(exp_imp^2),-0.002,0.001,-0.005,0.001,0.106,-0.002,0.002,-0.005,0.001,0.201,-0.003,0.001,-0.004,-0.001,0.004,-0.003,0.001,-0.005,-0.001,0.001,0,0.001,-0.002,0.003,0.887
sexMale,0.427,0.051,0.324,0.53,0,0.332,0.028,0.276,0.387,0,0.292,0.024,0.245,0.34,0,0.308,0.028,0.251,0.365,0,0.351,0.041,0.268,0.434,0
areaUrban-Type Settlement,0.113,0.076,-0.039,0.265,0.14,0.013,0.056,-0.1,0.126,0.819,0.023,0.054,-0.085,0.13,0.672,0.074,0.059,-0.043,0.192,0.211,0.114,0.079,-0.044,0.273,0.153
areaCity,0.18,0.106,-0.032,0.393,0.094,0.018,0.067,-0.115,0.152,0.786,0.125,0.061,0.002,0.248,0.047,0.155,0.064,0.026,0.284,0.019,0.241,0.059,0.122,0.361,0
areaRegional Center,0.175,0.242,-0.312,0.661,0.473,0.089,0.22,-0.353,0.532,0.687,0.171,0.216,-0.262,0.605,0.431,0.164,0.21,-0.258,0.586,0.438,0.249,0.223,-0.2,0.698,0.27
O,0.036,0.02,-0.005,0.077,0.085,0.034,0.019,-0.005,0.073,0.09,0.029,0.015,-0,0.059,0.053,0.043,0.017,0.009,0.077,0.014,0.042,0.024,-0.007,0.09,0.09
C,0.042,0.024,-0.005,0.09,0.079,0.013,0.015,-0.017,0.044,0.383,0.008,0.012,-0.016,0.032,0.503,-0.008,0.013,-0.033,0.017,0.521,-0.005,0.017,-0.04,0.029,0.754
E,0.024,0.028,-0.032,0.08,0.389,0.007,0.017,-0.027,0.042,0.664,0.017,0.015,-0.013,0.046,0.262,0.025,0.014,-0.004,0.053,0.088,0.009,0.016,-0.022,0.041,0.564
A,0.035,0.025,-0.015,0.086,0.167,0.011,0.015,-0.018,0.04,0.45,0.005,0.013,-0.021,0.031,0.693,0.008,0.014,-0.021,0.037,0.569,-0.02,0.015,-0.05,0.009,0.17
ES,0.015,0.022,-0.029,0.058,0.504,0.019,0.012,-0.004,0.043,0.109,0.002,0.011,-0.021,0.024,0.888,-0.007,0.015,-0.037,0.023,0.637,-0.023,0.017,-0.057,0.011,0.187
