"","variable","q50_estimate","q50_std.error","q50_ci.low","q50_ci.upp","q50_p.value","q75_estimate","q75_std.error","q75_ci.low","q75_ci.upp","q75_p.value","q90_estimate","q90_std.error","q90_ci.low","q90_ci.upp","q90_p.value"
"1","(Intercept)",4.917,0.075,4.765,5.068,0,5.09,0.079,4.931,5.25,0,5.262,0.065,5.132,5.393,0
"2","exp_imp",0.065,0.012,0.04,0.089,0,0.066,0.015,0.036,0.096,0,0.03,0.022,-0.015,0.074,0.183
"3","I(exp_imp^2)",-0.003,0.001,-0.005,-0.001,0.003,-0.003,0.001,-0.006,-0.001,0.008,0,0.002,-0.004,0.003,0.88
"4","areaUrban-Type Settlement",0.023,0.06,-0.098,0.144,0.704,0.092,0.066,-0.04,0.224,0.17,0.137,0.085,-0.034,0.308,0.115
"5","areaCity",0.169,0.064,0.042,0.297,0.01,0.214,0.07,0.074,0.355,0.004,0.236,0.08,0.076,0.397,0.005
"6","areaRegional Center",0.238,0.229,-0.221,0.698,0.302,0.261,0.236,-0.213,0.735,0.274,0.271,0.228,-0.187,0.73,0.241
"7","sexFemale",-0.288,0.027,-0.342,-0.234,0,-0.274,0.032,-0.34,-0.209,0,-0.255,0.04,-0.335,-0.174,0
"8","marital_status2. Married/Civil partnership",-0.001,0.03,-0.06,0.058,0.971,-0.009,0.034,-0.077,0.059,0.793,0.024,0.038,-0.052,0.1,0.528
"9","marital_status3. Divorced/Separated/Widowed",-0.008,0.062,-0.133,0.116,0.893,0.03,0.075,-0.121,0.182,0.689,0.063,0.073,-0.083,0.209,0.392
"10","O",0.072,0.017,0.037,0.107,0,0.054,0.022,0.009,0.098,0.019,0.046,0.026,-0.006,0.097,0.08
"11","C",0.005,0.017,-0.029,0.039,0.758,-0.009,0.017,-0.042,0.025,0.609,0.002,0.021,-0.041,0.045,0.912
"12","E",0.01,0.016,-0.022,0.043,0.518,0.005,0.018,-0.032,0.041,0.793,0.021,0.021,-0.022,0.063,0.335
"13","A",0.003,0.018,-0.033,0.039,0.874,0.007,0.018,-0.029,0.042,0.708,0.017,0.021,-0.026,0.06,0.434
"14","ES",0.002,0.022,-0.042,0.047,0.915,-0.009,0.021,-0.052,0.034,0.685,-0.005,0.023,-0.051,0.041,0.831
"15","sexFemale:O",-0.003,0.027,-0.058,0.052,0.903,0.012,0.029,-0.047,0.071,0.675,0.04,0.041,-0.043,0.122,0.337
"16","sexFemale:C",-0.013,0.025,-0.064,0.038,0.619,-0.013,0.027,-0.067,0.042,0.646,-0.006,0.032,-0.07,0.058,0.841
"17","sexFemale:E",0.001,0.025,-0.049,0.051,0.968,0.023,0.028,-0.032,0.079,0.4,0.02,0.031,-0.042,0.083,0.513
"18","sexFemale:A",0.012,0.026,-0.041,0.065,0.642,-0.004,0.026,-0.057,0.049,0.877,-0.025,0.029,-0.084,0.034,0.402
"19","sexFemale:ES",0.013,0.032,-0.05,0.077,0.676,0.018,0.032,-0.046,0.082,0.575,0.003,0.029,-0.056,0.061,0.928
